"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"currentAngle","currentAngle","k","D","D","net/minecraft/src/TextureCompassFX","aa","net/minecraft/src","0"
"mc","mc","i","Lnet/minecraft/client/Minecraft;","Lnet/minecraft/client/Minecraft;","net/minecraft/src/TextureCompassFX","aa","net/minecraft/src","0"
"angleDelta","angleDelta","l","D","D","net/minecraft/src/TextureCompassFX","aa","net/minecraft/src","0"
"lastFireFrame","lastFireFrame","h","[F","[F","net/minecraft/src/TextureCompassFX","aa","net/minecraft/src","0"
"compassIconImageData","compassIconImageData","j","[I","[I","net/minecraft/src/TextureCompassFX","aa","net/minecraft/src","0"
"currentFireFrame","currentFireFrame","g","[F","[F","net/minecraft/src/TextureCompassFX","aa","net/minecraft/src","0"
"itemRenderBlocks","itemRenderBlocks","d","Lnet/minecraft/src/RenderBlocks;","Lbc;","net/minecraft/src/RenderItem","ab","net/minecraft/src","0"
"random","random","e","Ljava/util/Random;","Ljava/util/Random;","net/minecraft/src/RenderItem","ab","net/minecraft/src","0"
"isFull","isFull","a","I","I","net/minecraft/src/ItemBucket","ac","net/minecraft/src","0"
"currentRender","currentRender","a","I","I","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"dataFolder","dataFolder","e","Ljava/io/File;","Ljava/io/File;","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"zoomLevel","zoomLevel","b","I","I","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"translateX","translateX","i","I","I","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"xPosition","xPosition","k","I","I","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"translateY","translateY","j","I","I","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"level","level","d","Lnet/minecraft/src/World;","Lcn;","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"yPosition","yPosition","l","I","I","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"zoneMap","zoneMap","h","[[Lnet/minecraft/src/IsoImageBuffer;","[[Ljj;","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"displayHelpText","displayHelpText","c","Z","Z","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"zonesToRender","zonesToRender","g","Ljava/util/List;","Ljava/util/List;","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"running","running","f","Z","Z","net/minecraft/src/CanvasIsomPreview","ad","net/minecraft/src","0"
"plantBlockId","plantBlockId","a","I","I","net/minecraft/src/WorldGenFlowers","ae","net/minecraft/src","0"
"soundName","soundName","a","Ljava/lang/String;","Ljava/lang/String;","net/minecraft/src/SoundPoolEntry","ah","net/minecraft/src","0"
"soundUrl","soundUrl","b","Ljava/net/URL;","Ljava/net/URL;","net/minecraft/src/SoundPoolEntry","ah","net/minecraft/src","0"
"glowing","glowing","a","Z","Z","net/minecraft/src/BlockRedstoneOre","ai","net/minecraft/src","0"
