"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"liquidType","liquidType","m","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"calmTileId","calmTileId","n","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"tileId","tileId","o","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"spreadSpeed","spreadSpeed","p","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/a/a/e","com/mojang/minecraft/level/tile","0"
"calmWater","calmWater","h","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"calmLava","calmLava","j","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"textureIndex","textureIndex","k","I","I","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"grass","grass","d","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"shouldTick","shouldTick","b","[Z","[Z","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"bedrock","bedrock","f","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"z0","z0","o","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"y1","y1","q","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"x0","x0","m","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"tiles","tiles","a","[Lcom/mojang/minecraft/level/tile/Tile;","[Lcom/mojang/minecraft/a/a/b;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"water","water","g","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"lava","lava","i","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"rock","rock","c","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"id","id","l","I","I","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"dirt","dirt","e","Lcom/mojang/minecraft/level/tile/Tile;","Lcom/mojang/minecraft/a/a/b;","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"x1","x1","p","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"z1","z1","r","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"y0","y0","n","F","F","com/mojang/minecraft/level/tile/Tile","com/mojang/minecraft/a/a/b","com/mojang/minecraft/level/tile","0"
"idMap","idMap","a","Ljava/util/HashMap;","Ljava/util/HashMap;","com/mojang/minecraft/renderer/Textures","com/mojang/minecraft/b/a","com/mojang/minecraft/renderer","0"
"thread","thread","b","Ljava/lang/Thread;","Ljava/lang/Thread;","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"canvas","canvas","c","Ljava/awt/Canvas;","Ljava/awt/Canvas;","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/c;","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"thePlayer","thePlayer","a","Lcom/mojang/minecraft/Player;","Lcom/mojang/minecraft/d;","com/mojang/minecraft/level/DirtyChunkSorter","com/mojang/minecraft/a/b","com/mojang/minecraft/level","0"
